#sn_name        z                zerr            bmag              bmagerr          s                serr            col               colerr              
sn2004hz        0.1419500        0.0000100       20.1110001        0.0260000        1.0300000        0.0210000       -0.0790000        0.0180000
sn2004hw        0.0587800        0.0000100       20.1639996        0.0280000        1.1150000        0.0400000        0.7580000        0.0160000
sn2004hu        0.0465400        0.0000100       18.2439995        0.1330000        0.6250000        0.0440000        0.2090000        0.0640000
sn2004id        0.0898700        0.0000100       19.6910000        0.0230000        1.1230000        0.0230000       -0.0740000        0.0170000
sn2004ia        0.1427600        0.0000100       19.5090008        0.0210000        1.0940000        0.0150000       -0.1160000        0.0130000
sn2004ie        0.0502500        0.0000100       17.4669991        0.0240000        0.9840000        0.0190000       -0.0990000        0.0120000
sn2004ih        0.1517900        0.0000100       20.0359993        0.0240000        0.9950000        0.0210000       -0.0890000        0.0240000
sn2004ig        0.1818700        0.0000100       20.5279999        0.0450000        1.0000000        0.0370000       -0.0930000        0.0370000
sn2004io        0.1476400        0.0000100       19.8439999        0.0720000        1.0180000        0.1280000       -0.0970000        0.0280000
sn2004ii        0.1962200        0.0000100              NaN              NaN        1.6000000        0.0000000              NaN              NaN
sn2004il        0.1061600        0.0000100              NaN              NaN        1.6000000       -0.0000000              NaN              NaN
sn2004in        0.1593800        0.0000100       19.9260006        0.3450000        1.4030000        0.3810000        0.0270000        0.0410000
sn2004ij        0.2164700        0.0000100              NaN              NaN        1.6000000       51.9239998              NaN              NaN
ptf10bjs        0.0300270        0.0000100       15.8690004        0.0390000        1.0650001        0.0240000              NaN              NaN
ptf10ops        0.0610000        0.0000100       19.4780006        0.0380000        1.0170000        0.0230000        0.5360000        0.0550000
ptf11bij        0.0350000        0.0000100              NaN              NaN              NaN              NaN              NaN              NaN
ptf11qpc        0.0890200        0.0000100              NaN              NaN              NaN              NaN              NaN              NaN
sn1954b        0.0052600        0.0000100              NaN              NaN              NaN              NaN              NaN              NaN
sn1962a        0.0208410        0.0000100              NaN              NaN              NaN              NaN              NaN              NaN
sn1963d        0.0217480        0.0000100              NaN              NaN              NaN              NaN              NaN              NaN
sn1963j        0.0031820        0.0000100              NaN              NaN              NaN              NaN              NaN              NaN
sn1967c        0.0043640        0.0000100       10.9230003        5.2259998        0.5930000        2.7479999              NaN              NaN
sn1968e        0.0130820        0.0000100              NaN              NaN              NaN              NaN              NaN              NaN
sn1971g        0.0062010        0.0000100              NaN              NaN        0.4000000       -0.0000000              NaN              NaN
sn1975g        0.0064710        0.0000100              NaN              NaN              NaN              NaN              NaN              NaN
sn1975o        0.0161480        0.0000100              NaN              NaN              NaN              NaN              NaN              NaN
sn1987n        0.0074420        0.0000100       12.7500000        0.0240000        0.4590000        0.0140000       -0.2510000        0.0230000
sn1991m        0.0072400        0.0000100              NaN              NaN              NaN              NaN              NaN              NaN
sn1991s        0.0550000        0.0000100       17.5529995        0.0720000        1.0450000        0.0260000       -0.1050000        0.0310000
